Ricness,PD,AvTD,EDGE1
42,40.2607663149998,3.10205634033343,47.125007949134
40,4.45944922499982,3.29993086728582,42.8213827958655
23,2.56047315,2.42982170433333,25.580209824306
19,1.53016455,0.830317032,21.7908886241639
2,0.395227965,0.65545114,2.12160409869286
1,0.007027025,0.01169717,1.23631995119451
5,1.004360145,1.75398499,5.43453764896297
20,2.606074835,3.24946124333333,21.4557991842731
31,6.02744167,4.91820003,34.7437400744682
11,1.888514915,2.56990333,10.2800787047404
3,0.77983184,1.22527138,3.0781494016792
0,0,0,0
2,0.118718875,0.19131435,1.87028553380153
1,0.05581575,0.08465155,0.825649844172095
2,0.450112244999907,0.488169520000092,2.25136243553628
12,0.736292315,0.76617278,12.6123252417735
63,9.50214756999991,6.14657979533342,65.754536130537
36,4.39408198499991,3.71238000733342,36.3936361461346
72,11.7484296049999,8.24189503057152,73.229839959738
59,9.57505482000003,8.63644892404784,64.0025946404241
7,1.36435714,2.20151328,8.56757774326629
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
17,1.788893505,2.71887849066667,25.4061372744037
13,1.03543273,1.02648463,15.7246882083624
27,5.57302102,5.55079706766667,26.8180782818454
1,0.685784684999998,0.686585779999998,0.77642144309117
22,1.82662967,1.86566054866667,26.7671503038516
22,3.148152075,3.23844057866667,22.9107522432904
12,0.61838854,0.137675891333333,11.3258849456373
44,10.29271311,8.19411689333333,44.5277511314955
19,4.05935509499991,5.25936263666676,20.2646384113284
8,3.284860815,3.81490815,7.86486924772182
8,1.862334575,1.34950881,11.4286655530407
37,40.4612418699999,3.09387233690485,44.0671011440824
33,5.992493345,3.454787693,37.9674792794079
